Name,Overall,Resources,Engagement,Outcomes,Environment
University of Tokyo Toky Explor,88.5,87.8,99.8,97.1,61.0
Tohoku University Miyag Explor,87.4,83.6,99.7,96.8,64.8
Kyoto University Kyot Explor,86.8,84.2,99.7,97.0,59.2
Nagoya University Aich Explor,86.3,80.1,98.4,96.2,68.9
"Tokyo Institute of Technology Toky 
Explore",86.3,82.2,98.8,96.0,63.7
Osaka University Osak Explor,86.1,80.4,99.0,97.0,64.9
Kyushu University Fukuok Explor,85.1,79.1,98.7,95.3,64.4
Hokkaido University Hokkaid Explor,82.8,75.5,98.2,95.6,59.1
University of Tsukuba Ibarak Explor,81.7,72.2,99.1,86.4,70.1
Waseda University Toky Explor,75.9,52.9,99.5,91.2,72.9
Keio University Toky Explor,75.4,60.7,99.4,96.5,45.0
Hiroshima University Hiroshim Explor,75.2,66.7,97.6,76.2,57.5
Kobe University Hyog Explor,74.4,65.8,94.0,83.2,52.4
Hitotsubashi University Toky Explor,72.4,49.2,97.8,87.1,67.9
ICU International Christian University Toky Explor,71.8,52.2,98.7,64.5,83.9
Chiba University Chib Explor,70.6,64.5,96.0,67.0,47.9
Nagaoka University of Technology Niigat Explor,69.8,63.5,86.9,59.6,69.6
Sophia University Toky Explor,69.1,42.9,98.6,64.9,88.8
Kanazawa University Ishikaw Explor,68.6,67.0,93.7,60.2,-
Akita International University Akit Explor,67.9,45.6,99.9,63.6,74.4
Okayama University Okayam Explor,67.7,63.6,92.4,62.8,43.3
Ritsumeikan University Kyot Explor,67.5,49.2,97.0,65.7,65.4
"University of Aizu Fukushim 
Explore",66.3,60.3,87.4,42.8,75.8
"Ritsumeikan Asia Pacific University Oit 
Explore",65.4,-,96.1,59.3,100.0
"Tokyo Metropolitan University Toky 
Explore",65.4,60.7,84.6,64.1,47.0
Kumamoto University Kumamot Explor,65.3,66.1,82.6,61.1,-
Tokyo University of Foreign Studies Toky Explor,64.9,-,95.7,54.5,87.5
Kyushu Institute of Technology Fukuok Explor,64.1,55.4,87.4,60.0,51.8
Nagasaki University Nagasak Explor,64.1,63.9,80.8,55.9,47.4
Niigata University Niigat Explor,64.0,61.3,87.1,60.4,-
Tokyo University of Agriculture and Technology Toky Explor,63.5,67.6,67.3,63.1,47.9
Tokyo University of Science Toky Explor,63.5,51.5,94.4,68.1,-
Yokohama National University Kanagaw Explor,63.4,52.6,84.7,62.5,55.2
Meiji University Toky Explor,63.3,45.1,98.3,59.6,54.0
Doshisha University Kyot Explor,63.2,43.2,97.5,60.9,57.8
Tokyo University of Marine Science and Technology Toky Explor,63.0,60.6,75.2,59.9,52.4
Toyohashi University of Technology Aich Explor,62.6,70.4,62.2,55.6,53.3
Tokyo Medical and Dental University (TMDU) Toky Explor,62.3,87.9,51.2,37.0,51.3
Ochanomizu University Toky Explor,61.9,62.2,80.2,45.2,52.0
"Kwansei Gakuin University Hyog 
Explore",61.5,-,94.9,59.2,63.2
Yamaguchi University Yamaguch Explor,61.2,55.3,84.3,57.6,-
University of Fukui Fuku Explor,60.8,67.5,71.3,52.9,-
The University of Electro-Communications Toky Explor,60.7,61.6,69.3,53.9,53.0
Yamagata University Yamagat Explor,60.7,56.0,88.3,55.5,-
Shinshu University Nagan Explor,60.3,60.0,77.1,56.4,-
Kanda University of International Studies Chib Explor,60.1,-,94.0,52.9,71.9
Osaka City University Osak Explor,60.0,64.4,65.9,59.8,-
Fukuoka Women's University Fukuok Explor,59.8,48.6,73.6,42.7,85.7
Saitama University Saitam Explor,59.7,51.3,73.6,57.0,60.2
Aoyama Gakuin University Toky Explor,59.5,42.0,94.7,56.8,47.3